url,people,rate
https://leetcode.cn/problems/largest-number,1528,0.41
https://leetcode.cn/problems/consecutive-numbers,1004,0.472
https://leetcode.cn/problems/department-highest-salary,1249,0.519
https://leetcode.cn/problems/reverse-words-in-a-string-ii,217,0.759
https://leetcode.cn/problems/repeated-dna-sequences,1135,0.548
https://leetcode.cn/problems/rotate-array,3868,0.445
https://leetcode.cn/problems/word-frequency,246,0.354
https://leetcode.cn/problems/transpose-file,109,0.342
https://leetcode.cn/problems/house-robber,5200,0.549
https://leetcode.cn/problems/binary-tree-right-side-view,3085,0.665
https://leetcode.cn/problems/number-of-islands,4328,0.6
https://leetcode.cn/problems/bitwise-and-of-numbers-range,557,0.544
https://leetcode.cn/problems/count-primes,1148,0.37
https://leetcode.cn/problems/course-schedule,2482,0.539
https://leetcode.cn/problems/implement-trie-prefix-tree,1802,0.72
https://leetcode.cn/problems/minimum-size-subarray-sum,3992,0.464
https://leetcode.cn/problems/course-schedule-ii,1511,0.578
https://leetcode.cn/problems/design-add-and-search-words-data-structure,803,0.498
https://leetcode.cn/problems/house-robber-ii,2970,0.448
https://leetcode.cn/problems/kth-largest-element-in-an-array,4414,0.621
https://leetcode.cn/problems/combination-sum-iii,2176,0.711
https://leetcode.cn/problems/maximal-square,1828,0.501
https://leetcode.cn/problems/rectangle-area,676,0.539
https://leetcode.cn/problems/basic-calculator-ii,1141,0.448
https://leetcode.cn/problems/majority-element-ii,887,0.543
https://leetcode.cn/problems/kth-smallest-element-in-a-bst,2031,0.767
https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-search-tree,2011,0.693
https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree,3119,0.703
https://leetcode.cn/problems/delete-node-in-a-linked-list,1822,0.862
https://leetcode.cn/problems/product-of-array-except-self,2115,0.751
https://leetcode.cn/problems/search-a-2d-matrix-ii,1910,0.534
https://leetcode.cn/problems/different-ways-to-add-parentheses,797,0.756
https://leetcode.cn/problems/shortest-word-distance-ii,114,0.601
https://leetcode.cn/problems/shortest-word-distance-iii,94,0.574
https://leetcode.cn/problems/strobogrammatic-number-ii,141,0.547
https://leetcode.cn/problems/group-shifted-strings,198,0.651
https://leetcode.cn/problems/count-univalue-subtrees,177,0.646
https://leetcode.cn/problems/flatten-2d-vector,115,0.55
https://leetcode.cn/problems/meeting-rooms-ii,615,0.523
https://leetcode.cn/problems/factor-combinations,147,0.569
https://leetcode.cn/problems/verify-preorder-sequence-in-binary-search-tree,126,0.496
https://leetcode.cn/problems/paint-house,329,0.706
https://leetcode.cn/problems/3sum-smaller,146,0.55
https://leetcode.cn/problems/single-number-iii,1134,0.723
https://leetcode.cn/problems/graph-valid-tree,250,0.512
https://leetcode.cn/problems/ugly-number-ii,995,0.583
https://leetcode.cn/problems/palindrome-permutation-ii,137,0.467
https://leetcode.cn/problems/encode-and-decode-strings,80,0.586
https://leetcode.cn/problems/h-index,1287,0.464
https://leetcode.cn/problems/h-index-ii,704,0.455
https://leetcode.cn/problems/paint-fence,204,0.545
https://leetcode.cn/problems/find-the-celebrity,151,0.578
https://leetcode.cn/problems/perfect-squares,2188,0.665
https://leetcode.cn/problems/wiggle-sort,133,0.692
https://leetcode.cn/problems/zigzag-iterator,136,0.768
https://leetcode.cn/problems/peeking-iterator,267,0.765
https://leetcode.cn/problems/inorder-successor-in-bst,182,0.646
https://leetcode.cn/problems/walls-and-gates,245,0.551
https://leetcode.cn/problems/find-the-duplicate-number,2173,0.64
https://leetcode.cn/problems/unique-word-abbreviation,92,0.497
https://leetcode.cn/problems/game-of-life,1249,0.76
https://leetcode.cn/problems/word-pattern-ii,108,0.517
https://leetcode.cn/problems/flip-game-ii,87,0.591
https://leetcode.cn/problems/binary-tree-longest-consecutive-sequence,157,0.598
https://leetcode.cn/problems/bulls-and-cows,920,0.576
https://leetcode.cn/problems/longest-increasing-subsequence,4639,0.554
https://leetcode.cn/problems/range-sum-query-2d-immutable,1409,0.622
https://leetcode.cn/problems/additive-number,721,0.378
https://leetcode.cn/problems/range-sum-query-mutable,678,0.534
https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-with-cooldown,2117,0.647
https://leetcode.cn/problems/minimum-height-trees,506,0.425
https://leetcode.cn/problems/sparse-matrix-multiplication,94,0.755
https://leetcode.cn/problems/super-ugly-number,523,0.558
https://leetcode.cn/problems/binary-tree-vertical-order-traversal,191,0.563
https://leetcode.cn/problems/remove-duplicate-letters,943,0.487
https://leetcode.cn/problems/maximum-product-of-word-lengths,776,0.72
https://leetcode.cn/problems/bulb-switcher,554,0.578
https://leetcode.cn/problems/generalized-abbreviation,84,0.701
https://leetcode.cn/problems/coin-change,3846,0.473
https://leetcode.cn/problems/number-of-connected-components-in-an-undirected-graph,365,0.654
https://leetcode.cn/problems/wiggle-sort-ii,418,0.409
https://leetcode.cn/problems/maximum-size-subarray-sum-equals-k,197,0.516
https://leetcode.cn/problems/odd-even-linked-list,1711,0.646
https://leetcode.cn/problems/verify-preorder-serialization-of-a-binary-tree,668,0.483
https://leetcode.cn/problems/largest-bst-subtree,167,0.49
https://leetcode.cn/problems/increasing-triplet-subsequence,905,0.428
https://leetcode.cn/problems/house-robber-iii,1962,0.615
https://leetcode.cn/problems/nested-list-weight-sum,85,0.837
https://leetcode.cn/problems/longest-substring-with-at-most-k-distinct-characters,318,0.512
https://leetcode.cn/problems/flatten-nested-list-iterator,680,0.728
https://leetcode.cn/problems/integer-break,2071,0.628
https://leetcode.cn/problems/top-k-frequent-elements,3220,0.636
https://leetcode.cn/problems/design-tic-tac-toe,143,0.594
https://leetcode.cn/problems/android-unlock-patterns,137,0.616
https://leetcode.cn/problems/design-snake-game,90,0.433
