url,people,rate
https://leetcode.cn/problems/erect-the-fence,140,0.603
https://leetcode.cn/problems/design-in-memory-file-system,58,0.439
https://leetcode.cn/problems/tag-validator,196,0.52
https://leetcode.cn/problems/non-negative-integers-without-consecutive-ones,332,0.502
https://leetcode.cn/problems/human-traffic-of-stadium,645,0.481
https://leetcode.cn/problems/average-salary-departments-vs-company,160,0.423
https://leetcode.cn/problems/students-report-by-geography,95,0.616
https://leetcode.cn/problems/k-inverse-pairs-array,220,0.508
https://leetcode.cn/problems/course-schedule-iii,338,0.485
https://leetcode.cn/problems/design-excel-sum-formula,49,0.338
https://leetcode.cn/problems/smallest-range-covering-elements-from-k-lists,326,0.611
https://leetcode.cn/problems/decode-ways-ii,330,0.371
https://leetcode.cn/problems/design-search-autocomplete-system,99,0.56
https://leetcode.cn/problems/maximum-average-subarray-ii,41,0.45
https://leetcode.cn/problems/coin-path,37,0.342
https://leetcode.cn/problems/remove-9,40,0.642
https://leetcode.cn/problems/strange-printer,246,0.654
https://leetcode.cn/problems/kth-smallest-number-in-multiplication-table,281,0.586
https://leetcode.cn/problems/cut-off-trees-for-golf-event,219,0.52
https://leetcode.cn/problems/24-game,368,0.538
https://leetcode.cn/problems/k-empty-slots,77,0.467
https://leetcode.cn/problems/redundant-connection-ii,390,0.423
https://leetcode.cn/problems/maximum-sum-of-3-non-overlapping-subarrays,351,0.586
https://leetcode.cn/problems/stickers-to-spell-word,214,0.583
https://leetcode.cn/problems/falling-squares,245,0.547
https://leetcode.cn/problems/random-pick-with-blacklist,452,0.435
https://leetcode.cn/problems/number-of-distinct-islands-ii,47,0.56
https://leetcode.cn/problems/range-module,253,0.557
https://leetcode.cn/problems/max-stack,112,0.434
https://leetcode.cn/problems/find-k-th-smallest-pair-distance,288,0.471
https://leetcode.cn/problems/number-of-atoms,484,0.553
https://leetcode.cn/problems/minimum-window-subsequence,83,0.426
https://leetcode.cn/problems/count-different-palindromic-subsequences,130,0.63
https://leetcode.cn/problems/my-calendar-iii,251,0.709
https://leetcode.cn/problems/parse-lisp-expression,159,0.662
https://leetcode.cn/problems/cherry-pickup,149,0.507
https://leetcode.cn/problems/prefix-and-suffix-search,259,0.438
https://leetcode.cn/problems/contain-virus,142,0.689
https://leetcode.cn/problems/cracking-the-safe,153,0.748
https://leetcode.cn/problems/set-intersection-size-at-least-two,201,0.56
https://leetcode.cn/problems/employee-free-time,81,0.703
https://leetcode.cn/problems/special-binary-string,153,0.751
https://leetcode.cn/problems/couples-holding-hands,690,0.673
https://leetcode.cn/problems/max-chunks-to-make-sorted-ii,398,0.588
https://leetcode.cn/problems/basic-calculator-iv,44,0.574
https://leetcode.cn/problems/basic-calculator-iii,216,0.534
https://leetcode.cn/problems/sliding-puzzle,530,0.701
https://leetcode.cn/problems/minimize-max-distance-to-gas-station,40,0.638
https://leetcode.cn/problems/swim-in-rising-water,453,0.591
https://leetcode.cn/problems/reaching-points,268,0.377
https://leetcode.cn/problems/transform-to-chessboard,149,0.594
https://leetcode.cn/problems/preimage-size-of-factorial-zeroes-function,293,0.486
https://leetcode.cn/problems/smallest-rotation-with-highest-score,233,0.617
https://leetcode.cn/problems/minimum-swaps-to-make-sequences-increasing,323,0.508
https://leetcode.cn/problems/bricks-falling-when-hit,158,0.47
https://leetcode.cn/problems/split-array-with-same-average,193,0.428
https://leetcode.cn/problems/chalkboard-xor-game,157,0.726
https://leetcode.cn/problems/bus-routes,422,0.445
https://leetcode.cn/problems/race-car,73,0.453
https://leetcode.cn/problems/making-a-large-island,601,0.473
https://leetcode.cn/problems/count-unique-characters-of-all-substrings-of-a-given-string,382,0.685
https://leetcode.cn/problems/consecutive-numbers-sum,385,0.461
https://leetcode.cn/problems/sum-of-distances-in-tree,245,0.606
https://leetcode.cn/problems/similar-string-groups,348,0.592
https://leetcode.cn/problems/guess-the-word,71,0.364
https://leetcode.cn/problems/shortest-path-visiting-all-nodes,241,0.672
https://leetcode.cn/problems/rectangle-area-ii,185,0.627
https://leetcode.cn/problems/k-similar-strings,251,0.467
https://leetcode.cn/problems/minimum-cost-to-hire-k-workers,223,0.635
https://leetcode.cn/problems/shortest-subarray-with-sum-at-least-k,396,0.269
https://leetcode.cn/problems/shortest-path-to-get-all-keys,253,0.593
https://leetcode.cn/problems/minimum-number-of-refueling-stops,379,0.434
https://leetcode.cn/problems/nth-magical-number,226,0.401
https://leetcode.cn/problems/profitable-schemes,242,0.546
https://leetcode.cn/problems/reachable-nodes-in-subdivided-graph,148,0.638
https://leetcode.cn/problems/super-egg-drop,477,0.308
https://leetcode.cn/problems/sum-of-subsequence-widths,203,0.465
https://leetcode.cn/problems/maximum-frequency-stack,328,0.639
https://leetcode.cn/problems/orderly-queue,284,0.637
https://leetcode.cn/problems/numbers-at-most-n-given-digit-set,416,0.471
https://leetcode.cn/problems/valid-permutations-for-di-sequence,68,0.572
https://leetcode.cn/problems/super-palindromes,85,0.322
https://leetcode.cn/problems/cat-and-mouse,142,0.529
https://leetcode.cn/problems/number-of-music-playlists,43,0.534
https://leetcode.cn/problems/minimize-malware-spread,157,0.361
https://leetcode.cn/problems/three-equal-parts,369,0.438
https://leetcode.cn/problems/minimize-malware-spread-ii,84,0.438
https://leetcode.cn/problems/stamping-the-sequence,44,0.434
https://leetcode.cn/problems/distinct-subsequences-ii,287,0.532
https://leetcode.cn/problems/find-the-shortest-superstring,81,0.481
https://leetcode.cn/problems/largest-component-size-by-common-factor,187,0.511
https://leetcode.cn/problems/tallest-billboard,84,0.473
https://leetcode.cn/problems/delete-columns-to-make-sorted-iii,64,0.589
https://leetcode.cn/problems/least-operators-to-express-number,42,0.466
https://leetcode.cn/problems/binary-tree-cameras,666,0.524
https://leetcode.cn/problems/equal-rational-numbers,55,0.416
https://leetcode.cn/problems/odd-even-jump,95,0.484
https://leetcode.cn/problems/unique-paths-iii,431,0.781
https://leetcode.cn/problems/triples-with-bitwise-and-equal-to-zero,152,0.674
https://leetcode.cn/problems/vertical-order-traversal-of-a-binary-tree,519,0.539
https://leetcode.cn/problems/subarrays-with-k-different-integers,342,0.477
https://leetcode.cn/problems/minimum-number-of-k-consecutive-bit-flips,291,0.541
https://leetcode.cn/problems/number-of-squareful-arrays,146,0.511
https://leetcode.cn/problems/minimum-cost-to-merge-stones,110,0.536
https://leetcode.cn/problems/grid-illumination,284,0.448
https://leetcode.cn/problems/numbers-with-repeated-digits,200,0.536
https://leetcode.cn/problems/recover-a-tree-from-preorder-traversal,548,0.728
https://leetcode.cn/problems/stream-of-characters,265,0.568
https://leetcode.cn/problems/escape-a-large-maze,220,0.467
https://leetcode.cn/problems/longest-duplicate-substring,245,0.355
https://leetcode.cn/problems/number-of-valid-subarrays,62,0.742
https://leetcode.cn/problems/digit-count-in-range,55,0.495
https://leetcode.cn/problems/number-of-submatrices-that-sum-to-target,223,0.676
https://leetcode.cn/problems/confusing-number-ii,53,0.499
https://leetcode.cn/problems/shortest-common-supersequence,176,0.582
https://leetcode.cn/problems/find-in-mountain-array,481,0.378
https://leetcode.cn/problems/brace-expansion-ii,157,0.733
https://leetcode.cn/problems/game-play-analysis-v,182,0.518
https://leetcode.cn/problems/parsing-a-boolean-expression,576,0.685
https://leetcode.cn/problems/divide-array-into-increasing-sequences,29,0.614
https://leetcode.cn/problems/smallest-sufficient-team,155,0.606
https://leetcode.cn/problems/user-purchase-platform,117,0.429
https://leetcode.cn/problems/longest-chunked-palindrome-decomposition,368,0.588
https://leetcode.cn/problems/string-transforms-into-another-string,35,0.379
https://leetcode.cn/problems/online-majority-element-in-subarray,128,0.462
https://leetcode.cn/problems/market-analysis-ii,139,0.506
https://leetcode.cn/problems/last-substring-in-lexicographical-order,241,0.351
https://leetcode.cn/problems/optimize-water-distribution-in-a-village,59,0.625
https://leetcode.cn/problems/dinner-plate-stacks,161,0.396
